"particle_no","lon","lat","height","hour"
"00060",-88.4311,33.3082,141,6
"00061",-88.3993,33.2396,149,6
"00062",-88.4249,33.3136,177,6
"00063",-88.3856,33.1932,101,6
"00064",-88.4046,33.2542,135,6
"00065",-88.4077,33.2611,102,6
"00066",-88.4156,33.2915,157,6
"00067",-88.3987,33.248,119,6
"00068",-88.3921,33.2155,76,6
"00069",-88.4283,33.3266,193,6
"00070",-88.4064,33.249,63,6
"00071",-88.4205,33.3211,179,6
"00072",-88.3963,33.2454,86,6
"00073",-88.4016,33.2655,109,6
"00074",-88.3792,33.1897,63,6
"00075",-88.3847,33.2046,94,6
"00076",-88.3943,33.2534,129,6
"00077",-88.3821,33.2027,99,6
"00078",-88.4005,33.2615,151,6
"00079",-88.4058,33.2738,161,6
"00080",-88.378,33.1875,89,6
"00081",-88.3851,33.2373,153,6
"00082",-88.3619,33.1611,133,6
"00083",-88.3681,33.1791,109,6
"00084",-88.3739,33.1995,122,6
"00085",-88.3992,33.2764,172,6
"00086",-88.3851,33.226,158,6
"00087",-88.3983,33.2749,149,6
"00088",-88.387,33.2357,179,6
"00089",-88.3923,33.256,155,6
"00090",-88.3749,33.2009,98,6
"00091",-88.3697,33.2028,83,6
"00092",-88.3769,33.2189,137,6
"00093",-88.3685,33.1982,142,6
"00094",-88.3725,33.2158,151,6
"00095",-88.3682,33.2014,72,6
"00096",-88.3708,33.1959,89,6
"00097",-88.3851,33.2411,148,6
"00098",-88.3713,33.2128,123,6
"00099",-88.3691,33.2037,109,6
"00100",-88.3817,33.2372,148,6
"END",NA,NA,NA,6
"00001",-88.5656,33.5053,117,7
"00002",-88.5656,33.5132,101,7
"00003",-88.5775,33.5685,167,7
"00004",-88.5558,33.4554,83,7
"00005",-88.5665,33.5113,170,7
"00006",-88.5597,33.508,124,7
"00007",-88.5602,33.4867,101,7
"00008",-88.5652,33.5211,162,7
"00009",-88.5485,33.4578,103,7
"00010",-88.5462,33.4285,146,7
"00011",-88.5588,33.5042,125,7
"00012",-88.5435,33.4565,111,7
"00013",-88.5652,33.5248,157,7
"00014",-88.5567,33.4962,135,7
"00015",-88.553,33.4884,164,7
"00016",-88.5601,33.5206,131,7
"00017",-88.5507,33.4856,129,7
"00018",-88.5322,33.393,62,7
"00019",-88.5613,33.5058,114,7
"00020",-88.549,33.4766,105,7
"00021",-88.5427,33.4698,119,7
"00022",-88.5357,33.4464,129,7
"00023",-88.537,33.4482,118,7
"00024",-88.5479,33.4961,169,7
"00025",-88.5517,33.4976,137,7
"00026",-88.5509,33.4972,118,7
"00027",-88.5273,33.3987,77,7
"00028",-88.5204,33.3718,94,7
"00029",-88.538,33.4552,122,7
"00030",-88.5564,33.5286,169,7
"00031",-88.5116,33.3803,95,7
"00032",-88.5387,33.4772,139,7
"00033",-88.5008,33.3448,89,7
"00034",-88.5302,33.4471,58,7
"00035",-88.5292,33.4094,95,7
"00036",-88.512,33.3761,89,7
"00037",-88.5251,33.4378,99,7
"00038",-88.523,33.4225,50,7
"00039",-88.5237,33.4075,70,7
"00040",-88.5291,33.4416,138,7
"00041",-88.529,33.4656,165,7
"00042",-88.5277,33.4539,130,7
"00043",-88.513,33.3905,76,7
"00044",-88.5228,33.4413,107,7
"00045",-88.5315,33.4556,78,7
"00046",-88.5118,33.3942,29,7
"00047",-88.5258,33.4573,115,7
"00048",-88.5295,33.4763,185,7
"00049",-88.5317,33.4517,135,7
"00050",-88.5161,33.4162,158,7
"00051",-88.5165,33.4441,123,7
"00052",-88.5084,33.4118,117,7
"00053",-88.5142,33.411,115,7
"00054",-88.5258,33.4853,156,7
"00055",-88.5132,33.4262,122,7
"00056",-88.5143,33.4374,154,7
"00057",-88.5184,33.4514,106,7
"00058",-88.5236,33.4714,147,7
"00059",-88.5175,33.4354,148,7
"00060",-88.5259,33.4627,118,7
"00061",-88.4973,33.3946,123,7
"00062",-88.5223,33.4829,155,7
"00063",-88.4811,33.3253,130,7
"00064",-88.5006,33.4051,134,7
"00065",-88.5004,33.3976,119,7
"00066",-88.512,33.4527,149,7
"00067",-88.4942,33.3926,114,7
"00068",-88.484,33.3356,16,7
"00069",-88.5257,33.5019,183,7
"00070",-88.494,33.3647,44,7
"00071",-88.5172,33.4913,166,7
"00072",-88.488,33.3711,81,7
"00073",-88.4955,33.4056,69,7
"00074",-88.4682,33.3044,99,7
"00075",-88.4793,33.3326,126,7
"00076",-88.4889,33.4016,117,7
"00077",-88.477,33.3331,74,7
"00078",-88.4975,33.4188,112,7
"00079",-88.5041,33.4364,158,7
"00080",-88.4721,33.3118,85,7
"00081",-88.483,33.3949,151,7
"00082",-88.4621,33.307,130,7
"00083",-88.4649,33.3142,38,7
"00084",-88.4704,33.3407,156,7
"00085",-88.4977,33.4418,172,7
"00086",-88.4854,33.3844,153,7
"00087",-88.4951,33.4313,129,7
"00088",-88.4879,33.4023,187,7
"00089",-88.4904,33.4147,144,7
"00090",-88.4696,33.3308,108,7
"00091",-88.462,33.3257,88,7
"00092",-88.4758,33.369,82,7
"00093",-88.4689,33.3491,88,7
"00094",-88.4715,33.3703,122,7
"00095",-88.4587,33.32,11,7
"00096",-88.466,33.3208,76,7
"00097",-88.4827,33.3961,120,7
"00098",-88.4675,33.3559,149,7
"00099",-88.4648,33.3401,126,7
"00100",-88.48,33.3912,111,7
"END",NA,NA,NA,7
"00001",-88.6475,33.6576,118,8
"00002",-88.6455,33.6598,80,8
"00003",-88.6562,33.7422,162,8
"00004",-88.6364,33.5898,68,8
"00005",-88.6495,33.6833,166,8
"00006",-88.6402,33.664,102,8
"00007",-88.6391,33.6317,91,8
"00008",-88.6472,33.6914,144,8
"00009",-88.6297,33.602,136,8
"00010",-88.6314,33.5886,143,8
"00011",-88.6398,33.6599,142,8
"00012",-88.6254,33.6053,122,8
"00013",-88.6463,33.6929,148,8
"00014",-88.6394,33.6553,96,8
"00015",-88.637,33.6588,135,8
"00016",-88.6411,33.6795,143,8
"00017",-88.6319,33.6421,148,8
"00018",-88.6108,33.516,107,8
"00019",-88.6415,33.6579,147,8
"00020",-88.6291,33.6224,110,8
"00021",-88.6252,33.6214,127,8
"00022",-88.6188,33.6019,113,8
"00023",-88.6207,33.5985,109,8
"00024",-88.6317,33.6686,148,8
"00025",-88.6334,33.6578,143,8
"00026",-88.6319,33.6492,108,8
"00027",-88.6085,33.528,89,8
"00028",-88.6053,33.5078,91,8
"00029",-88.621,33.6076,126,8
"00030",-88.6389,33.7018,177,8
"00031",-88.5955,33.5163,84,8
"00032",-88.6221,33.637,142,8
"00033",-88.5853,33.4764,90,8
"00034",-88.6063,33.5725,74,8
